fname,label_level_0,class_level_0,label_level_1,class_level_1,label_level_2,class_level_2,bbox_x1,bbox_y1,bbox_x2,bbox_y2
Black_Footed_Albatross_0009_34.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0,139,30,153,264
Black_Footed_Albatross_0074_59.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0,112,90,255,242
Black_Footed_Albatross_0014_89.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0,70,50,134,303
Black_Footed_Albatross_0031_100.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0,7,75,420,262
Black_Footed_Albatross_0051_796103.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0,78,86,333,158
Black_Footed_Albatross_0010_796097.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0,112,76,221,189
Black_Footed_Albatross_0023_796059.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0,1,52,342,260
Black_Footed_Albatross_0040_796066.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0,23,80,395,237
Black_Footed_Albatross_0089_796069.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0,45,58,254,249
Black_Footed_Albatross_0067_170.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0,23,195,255,122
Black_Footed_Albatross_0060_796076.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0,11,77,281,139
Black_Footed_Albatross_0056_796078.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0,154,93,188,165
Black_Footed_Albatross_0080_796096.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0,90,29,224,211
Black_Footed_Albatross_0047_796064.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0,38,15,314,301
Black_Footed_Albatross_0017_796098.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0,20,91,416,203
